,dengue_cases,datetime
0,74,2012-01-01
1,64,2012-01-08
2,60,2012-01-15
3,50,2012-01-22
4,84,2012-01-29
5,87,2012-02-05
6,65,2012-02-12
7,50,2012-02-19
8,55,2012-02-26
9,45,2012-03-04
10,64,2012-03-11
11,72,2012-03-18
12,48,2012-03-25
13,52,2012-04-01
14,81,2012-04-08
15,77,2012-04-15
16,64,2012-04-22
17,86,2012-04-29
18,96,2012-05-06
19,80,2012-05-13
20,80,2012-05-20
21,81,2012-05-27
22,99,2012-06-03
23,87,2012-06-10
24,128,2012-06-17
25,151,2012-06-24
26,140,2012-07-01
27,131,2012-07-08
28,124,2012-07-15
29,110,2012-07-22
30,94,2012-07-29
31,127,2012-08-05
32,115,2012-08-12
33,92,2012-08-19
34,102,2012-08-26
35,75,2012-09-02
36,73,2012-09-09
37,72,2012-09-16
38,99,2012-09-23
39,103,2012-09-30
40,122,2012-10-07
41,105,2012-10-14
42,84,2012-10-21
43,104,2012-10-28
44,99,2012-11-04
45,87,2012-11-11
46,99,2012-11-18
47,80,2012-11-25
48,78,2012-12-02
49,104,2012-12-09
50,92,2012-12-16
51,111,2012-12-23
52,132,2013-01-06
53,204,2013-01-13
54,219,2013-01-20
55,264,2013-01-27
56,292,2013-02-03
57,322,2013-02-10
58,246,2013-02-17
59,294,2013-02-24
60,247,2013-03-03
61,272,2013-03-10
62,307,2013-03-17
63,305,2013-03-24
64,314,2013-03-31
65,402,2013-04-07
66,491,2013-04-14
67,505,2013-04-21
68,536,2013-04-28
69,547,2013-05-05
70,556,2013-05-12
71,611,2013-05-19
72,637,2013-05-26
73,742,2013-06-02
74,813,2013-06-09
75,805,2013-06-16
76,838,2013-06-23
77,802,2013-06-30
78,676,2013-07-07
79,540,2013-07-14
80,389,2013-07-21
81,305,2013-07-28
82,288,2013-08-04
83,255,2013-08-11
84,378,2013-08-18
85,338,2013-08-25
86,382,2013-09-01
87,449,2013-09-08
88,337,2013-09-15
89,370,2013-09-22
90,402,2013-09-29
91,439,2013-10-06
92,435,2013-10-13
93,371,2013-10-20
94,495,2013-10-27
95,457,2013-11-03
96,401,2013-11-10
97,442,2013-11-17
98,365,2013-11-24
99,372,2013-12-01
100,347,2013-12-08
101,380,2013-12-15
102,371,2013-12-22
103,414,2013-12-29
104,436,2014-01-05
105,479,2014-01-12
106,401,2014-01-19
107,336,2014-01-26
108,234,2014-02-02
109,273,2014-02-09
110,369,2014-02-16
111,193,2014-02-23
112,186,2014-03-02
113,209,2014-03-09
114,224,2014-03-16
115,210,2014-03-23
116,225,2014-03-30
117,240,2014-04-06
118,244,2014-04-13
119,235,2014-04-20
120,282,2014-04-27
121,251,2014-05-04
122,261,2014-05-11
123,291,2014-05-18
124,427,2014-05-25
125,456,2014-06-01
126,458,2014-06-08
127,506,2014-06-15
128,550,2014-06-22
129,671,2014-06-29
130,888,2014-07-06
131,818,2014-07-13
132,744,2014-07-20
133,633,2014-07-27
134,484,2014-08-03
135,545,2014-08-10
136,438,2014-08-17
137,418,2014-08-24
138,367,2014-08-31
139,339,2014-09-07
140,362,2014-09-14
