no._of_cases,tempmax,tempmin,temp,humidity,precip,precipcover,Number of searches,Total Population 
74,31.9,25.8,27.6,84.8,0.521,4.17,9,5312437.0
64,30.714285714285715,25.02857142857143,27.314285714285713,81.32857142857142,3.3857142857142857,4.167142857142857,9,5312437.0
60,30.085714285714285,24.185714285714287,26.857142857142858,82.95714285714287,3.2982857142857145,7.738571428571428,9,5312437.0
50,31.714285714285715,24.928571428571427,27.32857142857143,84.64285714285714,3.414142857142857,4.167142857142857,9,5312437.0
84,30.842857142857145,24.52857142857143,27.085714285714285,79.82857142857142,1.1394285714285712,2.9771428571428573,9,5312437.0
87,30.2,24.3,26.785714285714285,84.95714285714287,7.081142857142857,4.1657142857142855,10,5312437.0
65,32.25714285714286,24.87142857142857,27.857142857142858,78.02857142857144,0.0,0.0,10,5312437.0
50,31.3,24.657142857142855,27.014285714285712,84.17142857142858,4.7377142857142855,3.5728571428571425,10,5312437.0
55,32.2,25.599999999999998,28.114285714285717,81.0,0.26857142857142857,1.7871428571428571,10,5312437.0
45,31.7,25.414285714285715,27.74285714285714,82.48571428571428,3.4887142857142863,6.547142857142857,11,5312437.0
64,30.62857142857143,24.714285714285715,27.414285714285715,82.91428571428571,5.577142857142857,7.738571428571428,11,5312437.0
72,30.699999999999996,24.657142857142855,26.97142857142857,83.72857142857143,10.376142857142858,6.547142857142857,11,5312437.0
48,32.114285714285714,25.17142857142857,27.885714285714283,83.21428571428571,0.8681428571428571,2.9771428571428573,11,5312437.0
52,31.885714285714283,24.857142857142858,27.585714285714285,82.27142857142857,11.896714285714285,4.167142857142857,10,5312437.0
81,31.614285714285717,24.37142857142857,27.514285714285712,82.2,3.869428571428571,3.5714285714285716,10,5312437.0
77,31.37142857142857,25.071428571428573,27.571428571428573,84.8,19.149714285714285,5.951428571428571,10,5312437.0
64,31.54285714285714,25.47142857142857,28.099999999999998,82.27142857142857,5.753571428571428,5.951428571428571,10,5312437.0
86,32.67142857142857,25.771428571428572,28.87142857142857,78.88571428571429,0.7062857142857144,3.5728571428571425,10,5312437.0
96,31.942857142857147,25.0,28.142857142857142,82.64285714285714,14.94542857142857,5.952857142857143,11,5312437.0
80,32.42857142857143,24.585714285714285,28.25714285714286,80.54285714285713,6.7628571428571425,5.951428571428571,11,5312437.0
80,32.48571428571428,25.842857142857145,29.085714285714285,78.61428571428571,6.461714285714286,2.9757142857142855,11,5312437.0
81,31.585714285714285,25.685714285714287,28.62857142857143,79.51428571428572,5.040142857142857,3.5714285714285716,11,5312437.0
99,31.785714285714285,25.985714285714288,28.614285714285717,80.81428571428572,4.906,2.9757142857142855,13,5312437.0
87,32.08571428571428,26.3,29.042857142857144,77.2,4.921285714285714,4.168571428571428,13,5312437.0
128,32.47142857142857,27.057142857142857,29.728571428571428,73.97142857142856,0.0,0.0,13,5312437.0
151,32.4,26.657142857142855,29.17142857142857,75.91428571428571,0.124,0.5957142857142858,13,5312437.0
140,31.585714285714285,26.457142857142856,28.714285714285715,76.38571428571429,1.1675714285714285,1.7871428571428571,14,5312437.0
131,30.3,24.771428571428572,27.5,81.92857142857143,9.217428571428572,7.142857142857143,14,5312437.0
124,30.557142857142857,26.099999999999998,27.87142857142857,81.31428571428572,4.365714285714286,5.357142857142857,14,5312437.0
110,30.928571428571427,25.428571428571427,27.728571428571428,81.48571428571428,3.7217142857142855,4.762857142857143,14,5312437.0
94,32.07142857142857,26.3,29.02857142857143,73.51428571428572,0.0,0.0,14,5312437.0
127,31.228571428571428,26.3,28.442857142857143,77.38571428571429,2.9257142857142857,3.5728571428571425,10,5312437.0
115,31.728571428571428,26.071428571428573,28.771428571428572,74.57142857142857,0.0,0.0,10,5312437.0
92,31.485714285714288,25.985714285714288,28.571428571428573,76.47142857142856,3.8445714285714283,2.9757142857142855,10,5312437.0
102,31.3,25.942857142857143,28.342857142857145,77.32857142857142,3.868,1.1914285714285715,10,5312437.0
75,30.185714285714287,25.32857142857143,27.52857142857143,82.2,4.117857142857143,4.761428571428572,11,5312437.0
73,31.32857142857143,25.071428571428573,27.7,80.28571428571429,8.259428571428572,4.761428571428572,11,5312437.0
72,31.314285714285713,26.02857142857143,28.485714285714288,75.60000000000001,0.248,0.5957142857142858,11,5312437.0
99,32.357142857142854,26.057142857142857,28.74285714285714,77.17142857142858,0.0,0.0,11,5312437.0
103,32.05714285714286,24.985714285714288,28.25714285714286,77.24285714285715,4.933857142857143,5.357142857142857,11,5312437.0
122,32.5,25.82857142857143,28.74285714285714,75.77142857142857,2.1084285714285715,1.1914285714285715,13,5312437.0
105,32.285714285714285,25.457142857142856,28.071428571428573,79.22857142857143,4.9761428571428565,3.5700000000000003,13,5312437.0
