epi_week,disease,dengue_cases,datetime
2012-W01,Dengue Fever,74,2012-01-01
2012-W02,Dengue Fever,64,2012-01-08
2012-W03,Dengue Fever,60,2012-01-15
2012-W04,Dengue Fever,50,2012-01-22
2012-W05,Dengue Fever,84,2012-01-29
2012-W06,Dengue Fever,87,2012-02-05
2012-W07,Dengue Fever,65,2012-02-12
2012-W08,Dengue Fever,50,2012-02-19
2012-W09,Dengue Fever,55,2012-02-26
2012-W10,Dengue Fever,45,2012-03-04
2012-W11,Dengue Fever,64,2012-03-11
2012-W12,Dengue Fever,72,2012-03-18
2012-W13,Dengue Fever,48,2012-03-25
2012-W14,Dengue Fever,52,2012-04-01
2012-W15,Dengue Fever,81,2012-04-08
2012-W16,Dengue Fever,77,2012-04-15
2012-W17,Dengue Fever,64,2012-04-22
2012-W18,Dengue Fever,86,2012-04-29
2012-W19,Dengue Fever,96,2012-05-06
2012-W20,Dengue Fever,80,2012-05-13
2012-W21,Dengue Fever,80,2012-05-20
2012-W22,Dengue Fever,81,2012-05-27
2012-W23,Dengue Fever,99,2012-06-03
2012-W24,Dengue Fever,87,2012-06-10
2012-W25,Dengue Fever,128,2012-06-17
2012-W26,Dengue Fever,151,2012-06-24
2012-W27,Dengue Fever,140,2012-07-01
2012-W28,Dengue Fever,131,2012-07-08
2012-W29,Dengue Fever,124,2012-07-15
2012-W30,Dengue Fever,110,2012-07-22
2012-W31,Dengue Fever,94,2012-07-29
2012-W32,Dengue Fever,127,2012-08-05
2012-W33,Dengue Fever,115,2012-08-12
2012-W34,Dengue Fever,92,2012-08-19
2012-W35,Dengue Fever,102,2012-08-26
2012-W36,Dengue Fever,75,2012-09-02
2012-W37,Dengue Fever,73,2012-09-09
2012-W38,Dengue Fever,72,2012-09-16
2012-W39,Dengue Fever,99,2012-09-23
2012-W40,Dengue Fever,103,2012-09-30
2012-W41,Dengue Fever,122,2012-10-07
2012-W42,Dengue Fever,105,2012-10-14
2012-W43,Dengue Fever,84,2012-10-21
2012-W44,Dengue Fever,104,2012-10-28
2012-W45,Dengue Fever,99,2012-11-04
2012-W46,Dengue Fever,87,2012-11-11
2012-W47,Dengue Fever,99,2012-11-18
2012-W48,Dengue Fever,80,2012-11-25
2012-W49,Dengue Fever,78,2012-12-02
2012-W50,Dengue Fever,104,2012-12-09
2012-W51,Dengue Fever,92,2012-12-16
2012-W52,Dengue Fever,111,2012-12-23
2012-W53,Dengue Fever,132,2013-01-06
2013-W01,Dengue Fever,204,2013-01-13
2013-W02,Dengue Fever,219,2013-01-20
2013-W03,Dengue Fever,264,2013-01-27
2013-W04,Dengue Fever,292,2013-02-03
2013-W05,Dengue Fever,322,2013-02-10
2013-W06,Dengue Fever,246,2013-02-17
2013-W07,Dengue Fever,294,2013-02-24
2013-W08,Dengue Fever,247,2013-03-03
2013-W09,Dengue Fever,272,2013-03-10
2013-W10,Dengue Fever,307,2013-03-17
2013-W11,Dengue Fever,305,2013-03-24
2013-W12,Dengue Fever,314,2013-03-31
2013-W13,Dengue Fever,402,2013-04-07
2013-W14,Dengue Fever,491,2013-04-14
2013-W15,Dengue Fever,505,2013-04-21
2013-W16,Dengue Fever,536,2013-04-28
2013-W17,Dengue Fever,547,2013-05-05
2013-W18,Dengue Fever,556,2013-05-12
2013-W19,Dengue Fever,611,2013-05-19
2013-W20,Dengue Fever,637,2013-05-26
2013-W21,Dengue Fever,742,2013-06-02
2013-W22,Dengue Fever,813,2013-06-09
2013-W23,Dengue Fever,805,2013-06-16
2013-W24,Dengue Fever,838,2013-06-23
2013-W25,Dengue Fever,802,2013-06-30
2013-W26,Dengue Fever,676,2013-07-07
2013-W27,Dengue Fever,540,2013-07-14
2013-W28,Dengue Fever,389,2013-07-21
2013-W29,Dengue Fever,305,2013-07-28
2013-W30,Dengue Fever,288,2013-08-04
2013-W31,Dengue Fever,255,2013-08-11
2013-W32,Dengue Fever,378,2013-08-18
2013-W33,Dengue Fever,338,2013-08-25
2013-W34,Dengue Fever,382,2013-09-01
2013-W35,Dengue Fever,449,2013-09-08
2013-W36,Dengue Fever,337,2013-09-15
2013-W37,Dengue Fever,370,2013-09-22
2013-W38,Dengue Fever,402,2013-09-29
2013-W39,Dengue Fever,439,2013-10-06
