,
Theme: Population,
Subject: Population and Population Structure,
Topic: Key Annual Indicators on Population,
"Table Title: Indicators On Population, Annual",
,
Data last updated: 11/05/2023,
Source: SINGAPORE DEPARTMENT OF STATISTICS,
,
,
Data Series,Total Population 
  2022,5637022
  2021,5453566
  2020,5685807
  2019,5703569
  2018,5638676
  2017,5612253
  2016,5607283
  2015,5535002
  2014,5469724
  2013,5399162
  2012,5312437
,
Footnotes:,
"For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).  For more information on Rate of Natural Increase, please refer to the Statistics Singapore Newsletter on 'Singapore's Rate of Natural Increase for Population' (www.singstat.gov.sg/find-data/search-by theme/population/population-and-population-structure/publications-and-methodology). For more information on Old-Age Support Ratio, please refer to the the Infographics on 'Old-Age Support Ratio' (www.singstat.gov.sg/modules/infographics/old-age-support-ratio) and Statistics Singapore Newsletter on 'Are the Old-Age Support Ratio Trends Similar Across Different Working-Age Groups' (www.singstat.gov.sg/find-data/search-by-theme/population/population-and-population-structure/publications-and-methodology).",
Total Population (Number):,
"Total population comprises S'pore residents & non-residents.  Resident population comprises S'pore citizens & permanent residents.  Data prior to 1990 are based on de facto concept (i.e. the person is present in the country at the reference period), while data from 1990 onwards are based on de jure concept (i.e. the person's place of usual residence).  Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period.",
,
Definitions,
Total Population:,
Residents and non-residents make up the total population in Singapore.,
,
Notation:,
na   not available or not applicable,
nec  not elsewhere classified,
nes  not elsewhere specified,
 -     nil or negligible or not significant,
Notes,
Numbers may not add up to the totals due to rounding.,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",
Values are shown in Singapore dollars (unless otherwise specified).,
,
Generated by: SingStat Table Builder,
Date generated: 20/08/2023,
Contact: info@singstat.gov.sg,
