datetime,tempmax,tempmin,temp,humidity,precip,precipcover
2012-01-01,31.9,25.8,27.6,84.8,0.521,4.17
2012-01-02,31.4,25.1,27.9,83.5,0,0
2012-01-03,30.6,25.9,27.7,81.7,0,0
2012-01-04,31.6,25,27.6,79.2,0,0
2012-01-05,30.6,24.7,27.3,81.3,0,0
2012-01-06,31.9,24.9,27.7,76,0,0
2012-01-07,32,24.9,27.5,78.1,0.521,4.17
2012-01-08,26.9,24.7,25.5,89.5,23.179,25
2012-01-09,28.4,24.6,26.2,85.4,1.736,12.5
2012-01-10,27.6,24,25.6,90.4,2.081,20.83
2012-01-11,28.8,24.9,26.6,86.5,4.685,12.5
2012-01-12,29.9,24.9,26.8,81.9,0.695,4.17
2012-01-13,31.5,23.9,27.1,78.9,0,0
2012-01-14,31.1,24.9,27.7,79.5,0,0
2012-01-15,33.3,22.1,28,78.1,13.891,4.17
2012-01-16,31.7,25.8,28.2,83.6,0,0
2012-01-17,31.6,25.8,28.1,85,1.736,4.17
2012-01-18,30.4,24.9,27.4,85.6,0.288,4.17
2012-01-19,31.9,25.7,28,81,0,0
2012-01-20,32.4,23.9,26.2,86.4,9.55,4.17
2012-01-21,31.6,23.6,26.3,86.4,10.419,8.33
2012-01-22,32.4,24.8,27.1,84.5,1.906,8.33
2012-01-23,31.2,23.9,26,87.1,4.85,12.5
2012-01-24,29.9,23.7,26.6,80,0,0
2012-01-25,32.2,24.7,27.7,76.5,0,0
2012-01-26,29.9,25,27.5,78,0,0
2012-01-27,31.6,24.8,27.5,79,0.521,4.17
2012-01-28,28.6,24.9,26.6,81.9,0,0
2012-01-29,32.5,24.7,27.7,76.3,2.605,4.17
2012-01-30,31.9,24.7,27.5,82.7,0,0
2012-01-31,30.9,22.9,26.6,85.8,13.37,8.33
2012-02-01,30.6,25.4,27.5,81.8,0,0
2012-02-02,30.3,23.4,26,89.2,32.123,8.33
2012-02-03,26.9,24.9,25.4,90.7,4.075,12.5
2012-02-04,29.3,23.8,26.6,85.1,0,0
2012-02-05,31.5,25,27.9,79.4,0,0
2012-02-06,31,24.9,27.7,81.5,0,0
2012-02-07,32.8,24.7,27.8,80.2,0,0
2012-02-08,33.4,24.7,28,73.9,0,0
2012-02-09,32.1,23.6,27.4,74.3,0,0
2012-02-10,31.9,24.6,27.7,78.5,0,0
2012-02-11,32.5,25.7,28.2,78.7,0,0
2012-02-12,32.1,25.9,28.2,79.1,0,0
2012-02-13,30.6,25,27.2,84.7,4.341,4.17
2012-02-14,32.4,25.3,28,80.1,0,0
2012-02-15,32.8,24.7,27.3,82.5,0,0
2012-02-16,32.3,25.6,27.5,81.8,15.627,8.33
2012-02-17,30.4,25,26.8,87.5,1.736,4.17
2012-02-18,29.9,24,25.9,90.2,0.695,4.17
2012-02-19,30.7,23,26.4,82.4,10.765,4.17
2012-02-20,31.6,25.8,27.2,85.8,0.868,4.17
2012-02-21,30.2,25.7,27.3,85.1,0.868,4.17
2012-02-22,31.7,24.9,28,80.8,0,0
2012-02-23,32.6,25.7,28.4,79.2,0,0
2012-02-24,33.7,25.7,28.8,77.3,0.144,4.17
2012-02-25,33.1,25.7,28.7,77.8,0,0
2012-02-26,32.5,25.7,28.4,81,0,0
2012-02-27,30.9,26.2,28,82.2,1.2,12.5
2012-02-28,33.2,25.5,28.6,77.1,0,0
2012-02-29,32.8,25.7,28.5,78.4,0,0
2012-03-01,32.5,25,27.3,84.5,4.341,4.17
2012-03-02,28.9,24.7,25.9,91.8,18.536,20.83
2012-03-03,31.6,24.9,27.5,81.7,0,0
2012-03-04,32,25.9,28.4,81.7,0.344,8.33
2012-03-05,28.4,23.4,26.2,88.6,26.189,12.5
2012-03-06,31.6,24.9,28,80.9,0.174,4.17
2012-03-07,30.4,25.9,27.7,86.1,0,0
2012-03-08,31.9,25,28.1,75.3,0,0
2012-03-09,29.9,24,27.1,83.2,5.383,12.5
2012-03-10,31.6,24.9,27.5,82.9,5.383,8.33
2012-03-11,30.6,24.9,27.3,83.4,1.911,16.67
2012-03-12,27.9,24.9,26,87.7,7.227,8.33
2012-03-13,30.9,24.7,27.1,81.1,0,0
2012-03-14,26.7,23.9,24.9,93.6,41.698,25
2012-03-15,30.6,23.8,27.1,81,0,0
2012-03-16,32.8,25.5,28.5,76.4,0,0
2012-03-17,33.3,25.6,28.1,79,0,0
2012-03-18,32.7,24.2,27.1,87.3,23.708,12.5
2012-03-19,31.5,25.6,27.9,84.2,0,0
