Category: All categories

Month,Dengue fever: (Singapore)
2012-01,9
2012-02,10
2012-03,11
2012-04,10
2012-05,11
2012-06,13
2012-07,14
2012-08,10
2012-09,11
2012-10,13
2012-11,11
2012-12,10
2013-01,15
2013-02,21
2013-03,19
2013-04,49
2013-05,49
2013-06,100
2013-07,46
2013-08,29
2013-09,27
2013-10,34
2013-11,34
2013-12,25
2014-01,27
2014-02,25
2014-03,20
2014-04,20
2014-05,20
2014-06,28
2014-07,45
2014-08,34
2014-09,23
2014-10,20
2014-11,16
2014-12,16
2015-01,16
2015-02,14
2015-03,14
2015-04,15
2015-05,17
2015-06,18
2015-07,20
2015-08,16
2015-09,18
2015-10,17
2015-11,17
2015-12,23
2016-01,42
2016-02,43
2016-03,29
2016-04,22
2016-05,21
2016-06,21
2016-07,22
2016-08,23
2016-09,26
2016-10,16
2016-11,12
2016-12,9
2017-01,11
2017-02,11
2017-03,11
2017-04,10
2017-05,13
2017-06,11
2017-07,13
2017-08,11
2017-09,10
2017-10,12
2017-11,11
2017-12,11
2018-01,11
2018-02,9
2018-03,9
2018-04,8
2018-05,19
2018-06,12
2018-07,12
2018-08,10
2018-09,10
2018-10,9
2018-11,11
2018-12,14
2019-01,18
2019-02,20
2019-03,14
2019-04,16
2019-05,20
2019-06,34
2019-07,48
2019-08,41
2019-09,29
2019-10,22
2019-11,27
2019-12,20
2020-01,27
2020-02,37
2020-03,29
2020-04,22
2020-05,29
2020-06,73
2020-07,73
2020-08,60
2020-09,35
2020-10,24
2020-11,16
2020-12,12
2021-01,10
2021-02,10
2021-03,11
2021-04,10
2021-05,10
2021-06,11
2021-07,11
2021-08,9
2021-09,10
2021-10,9
2021-11,6
2021-12,6
2022-01,9
2022-02,10
2022-03,17
2022-04,32
2022-05,49
2022-06,58
2022-07,49
2022-08,35
2022-09,28
2022-10,23
2022-11,15
2022-12,16
2023-01,16
2023-02,15
2023-03,13
2023-04,13
2023-05,13
2023-06,16
2023-07,17
2023-08,16
